city,country,tags
Barcelona,Spain,beaches architecture nightlife
Amsterdam,Netherlands,canals museums cycling
Kyoto,Japan,temples gardens traditional
New York,USA,shopping museums nightlife
Bangkok,Thailand,street_food temples markets
Paris,France,eiffel_tower museums romance
Rome,Italy,colosseum history food
London,UK,big_ben museums shopping
Berlin,Germany,history nightlife art
Sydney,Australia,opera_house beaches outdoor
Rio de Janeiro,Brazil,carnival beaches mountains
Dubai,UAE,skyscrapers luxury shopping
Moscow,Russia,kremlin red_square culture
Istanbul,Turkey,historical architecture markets
Athens,Greece,ancient_ruins history sea
Singapore,Singapore,marina_bay gardens shopping
Los Angeles,USA,hollywood beaches nightlife
Toronto,Canada,cn_tower multicultural parks
Cape Town,South Africa,table_mountain beaches wineries
Mumbai,India,bollywood gateway_of_india street_food
Beijing,China,great_wall temples culture
Seoul,South Korea,k-pop palaces tech
Mexico City,Mexico,aztec_pyramids markets food
Buenos Aires,Argentina,tango football nightlife
Lisbon,Portugal,tram28 seafood history
Prague,Czech Republic,castles bridges beer
Vienna,Austria,opera classical_music history
Cairo,Egypt,pyramids nile desert
Stockholm,Sweden,islands museums innovation
Hanoi,Vietnam,old_quarter street_food culture
Jakarta,Indonesia,skyline culture food
Kuala Lumpur,Malaysia,petronas_towers shopping cuisine
Marrakech,Morocco,souks desert culture
Havana,Cuba,vintage_cars salsa history
Lima,Peru,inca_ruins coastline food
Bogotá,Colombia,mountains culture coffee
Santiago,Chile,andes_mountains history parks
Manila,Philippines,islands food heritage
Warsaw,Poland,old_town history resilience
Oslo,Norway,fjord national_parks northern_lights
Helsinki,Finland,design saunas nature
Reykjavik,Iceland,volcanoes northern_lights adventure
Christchurch,New Zealand,scenic nature outdoor
Edinburgh,Scotland,castles festivals whiskey
Dublin,Ireland,guinness pubs folklore
Brussels,Belgium,waffles chocolate europe
Zurich,Switzerland,alps banking chocolate
Venice,Italy,canals gondolas romance
Florence,Italy,renaissance art history
Budapest,Hungary,thermal_baths history bridges
Seville,Spain,flamenco history tapas
Valencia,Spain,beaches paella city_of_arts
Munich,Germany,oktoberfest beer history
Bratislava,Slovakia,castles old_town danube
Luxembourg City,Luxembourg,fortresses history finance
Krakow,Poland,medieval architecture history
Copenhagen,Denmark,tivoli canals cycling
Bucharest,Romania,palace_of_parliament history parks
Sofia,Bulgaria,cathedrals mountains culture
Belgrade,Serbia,nightlife history fortresses
Skopje,North Macedonia,statues history bazaar
Tbilisi,Georgia,old_town sulphur_baths wine
Yerevan,Armenia,history monasteries culture
Baku,Azerbaijan,flame_towers caspian_sea history
Riga,Latvia,art_nouveau history seaside
Vilnius,Lithuania,old_town cathedrals history
Tallinn,Estonia,medieval old_town digital_nomad
Chisinau,Moldova,wineries parks soviet_architecture
Podgorica,Montenegro,rivers mountains history
Sarajevo,Bosnia and Herzegovina,history culture bridges
Tirana,Albania,colorful_buildings history mountains
Delhi,India,red_fort qutub_minar street_food
Agra,India,taj_mahal mughal_architecture gardens
Jaipur,India,pink_city forts palaces
Varanasi,India,ghats temples spirituality
Udaipur,India,lake_palace rajasthani_culture heritage
Kolkata,India,victoria_memorial durga_puja culture
Chennai,India,marina_beach temples south_indian_cuisine
Bengaluru,India,gardens tech_hub breweries
Hyderabad,India,charminar biryani pearls
Amritsar,India,golden_temple punjabi_culture food
Kochi,India,chinese_fishing_nets backwaters spices
Goa,India,beaches portuguese_architecture nightlife
Rishikesh,India,yoga ganges spirituality
Darjeeling,India,tea_gardens himalayan_views colonial_heritage
Mysore,India,mysore_palace dasara silk
Pune,India,osho_ashram history education
Ahmedabad,India,sabarmati_ashram heritage textile
Shimla,India,colonial_architecture mountains mall_road
Jodhpur,India,mehrangarh_fort blue_city desert
Pushkar,India,camel_fair temples ghats
Hampi,India,ancient_ruins boulders temples
Madurai,India,meenakshi_temple south_indian_culture food
Lucknow,India,nawabi_culture kebabs architecture
Bhopal,India,lakes islamic_architecture museums
Aurangabad,India,ajanta_caves ellora_caves history
Ranthambore,India,tigers wildlife fortresses
Khajuraho,India,temples sculptures architecture
Gangtok,India,monasteries sikkim_culture mountains
Leh,India,buddhist_monasteries himalayas adventure
Ooty,India,tea_estates nilgiri_railway hill_station
Mahabaleshwar,India,strawberries viewpoints trekking
